Ticker,date,value,volume
NasdaqGS:INTC,6/14/2013,24.92,24.7627
NasdaqGS:INTC,6/17/2013,25.1,42.65301
NasdaqGS:INTC,6/18/2013,25.465,36.67735
NasdaqGS:INTC,6/19/2013,25,28.85012
NasdaqGS:INTC,6/20/2013,24.185,63.56938
NasdaqGS:INTC,6/21/2013,24.195,67.75396
NasdaqGS:INTC,6/24/2013,23.58,49.15022
NasdaqGS:INTC,6/25/2013,23.88,34.57145
NasdaqGS:INTC,6/26/2013,24.005,33.64791
NasdaqGS:INTC,6/27/2013,24.05,25.56555
NasdaqGS:INTC,6/28/2013,24.23,80.41382
NasdaqGS:INTC,7/1/2013,23.886,29.70149
NasdaqGS:INTC,7/2/2013,23.72,28.29357
NasdaqGS:INTC,7/3/2013,23.762,18.16716
NasdaqGS:INTC,7/5/2013,24.06,17.83783
NasdaqGS:INTC,7/8/2013,23.185,68.8324
NasdaqGS:INTC,7/9/2013,23.135,34.74778
NasdaqGS:INTC,7/10/2013,23.25,50.03746
NasdaqGS:INTC,7/11/2013,23.99,41.31591
NasdaqGS:INTC,7/12/2013,23.9,34.56331
NasdaqGS:INTC,7/15/2013,23.94,25.65075
NasdaqGS:INTC,7/16/2013,24.25,34.49929
NasdaqGS:INTC,7/17/2013,24.15,44.08411
NasdaqGS:INTC,7/18/2013,23.244,77.86388
NasdaqGS:INTC,7/19/2013,23.04,45.87574
NasdaqGS:INTC,7/22/2013,22.77,35.89088
NasdaqGS:INTC,7/23/2013,22.75,28.52365
NasdaqGS:INTC,7/24/2013,22.93,33.43262
NasdaqGS:INTC,7/25/2013,23.06,114.5669
NasdaqGS:INTC,7/26/2013,23.26,110.4796
NasdaqGS:INTC,7/29/2013,23.24,85.54354
NasdaqGS:INTC,7/30/2013,23.38,28.85812
NasdaqGS:INTC,7/31/2013,23.335,27.68041
NasdaqGS:INTC,8/1/2013,23.2,37.83263
NasdaqGS:INTC,8/2/2013,23.22,36.2421
NasdaqGS:INTC,8/5/2013,22.924,20.87572
NasdaqGS:INTC,8/6/2013,22.8,28.84711
NasdaqGS:INTC,8/7/2013,22.7,23.3509
NasdaqGS:INTC,8/8/2013,22.45,34.7969
NasdaqGS:INTC,8/9/2013,22.51,25.14626
NasdaqGS:INTC,8/12/2013,22.64,23.52157
NasdaqGS:INTC,8/13/2013,22.52,26.10171
NasdaqGS:INTC,8/14/2013,22.57,23.20247
NasdaqGS:INTC,8/15/2013,22.03,40.45113
NasdaqGS:INTC,8/16/2013,21.915,30.08655
NasdaqGS:INTC,8/19/2013,22.28,43.41905
NasdaqGS:INTC,8/20/2013,22.523,32.0843
NasdaqGS:INTC,8/21/2013,22.17,32.4033
NasdaqGS:INTC,8/22/2013,22.26,17.38059
NasdaqGS:INTC,8/23/2013,22.44,23.08869
NasdaqGS:INTC,8/26/2013,22.275,22.26772
NasdaqGS:INTC,8/27/2013,22.191,37.63847
NasdaqGS:INTC,8/28/2013,22.285,28.09178
NasdaqGS:INTC,8/29/2013,22.06,28.30822
NasdaqGS:INTC,8/30/2013,21.98,33.89625
NasdaqGS:INTC,9/3/2013,22.067,26.42834
NasdaqGS:INTC,9/4/2013,22.635,37.95141
NasdaqGS:INTC,9/5/2013,22.6,22.55273
NasdaqGS:INTC,9/6/2013,22.67,27.61049
NasdaqGS:INTC,9/9/2013,22.91,27.77056
NasdaqGS:INTC,9/10/2013,22.985,31.70777
NasdaqGS:INTC,9/11/2013,22.81,45.81811
NasdaqGS:INTC,9/12/2013,22.63,29.51915
NasdaqGS:INTC,9/13/2013,23.44,61.13477
NasdaqGS:INTC,9/16/2013,23.39,30.25685
NasdaqGS:INTC,9/17/2013,23.74,37.54066
NasdaqGS:INTC,9/18/2013,23.9,31.9842
NasdaqGS:INTC,9/19/2013,23.915,28.2614
NasdaqGS:INTC,9/20/2013,23.769,47.06898
NasdaqGS:INTC,9/23/2013,23.62,22.44156
NasdaqGS:INTC,9/24/2013,23.705,24.41008
NasdaqGS:INTC,9/25/2013,23.7,19.87986
NasdaqGS:INTC,9/26/2013,23.41,32.00327
NasdaqGS:INTC,9/27/2013,22.98,28.92778
NasdaqGS:INTC,9/30/2013,22.921,32.48965
NasdaqGS:INTC,10/1/2013,22.83,25.88878
NasdaqGS:INTC,10/2/2013,22.885,23.21265
NasdaqGS:INTC,10/3/2013,22.6,34.88854
NasdaqGS:INTC,10/4/2013,22.81,22.55085
NasdaqGS:INTC,10/7/2013,22.83,21.3299
NasdaqGS:INTC,10/8/2013,22.48,36.11119
NasdaqGS:INTC,10/9/2013,22.59,40.4354
NasdaqGS:INTC,10/10/2013,23.1,39.18945
NasdaqGS:INTC,10/11/2013,23.255,24.55062
NasdaqGS:INTC,10/14/2013,23.45,27.17674
NasdaqGS:INTC,10/15/2013,23.39,42.95766
NasdaqGS:INTC,10/16/2013,23.695,47.72344
NasdaqGS:INTC,10/17/2013,23.92,28.69488
NasdaqGS:INTC,10/18/2013,23.875,29.57908
NasdaqGS:INTC,10/21/2013,24.135,35.29756
NasdaqGS:INTC,10/22/2013,24.071,29.01079
NasdaqGS:INTC,10/23/2013,23.735,31.65106
NasdaqGS:INTC,10/24/2013,23.78,47.59018
NasdaqGS:INTC,10/25/2013,24.235,59.63467
NasdaqGS:INTC,10/28/2013,24.36,65.58163
NasdaqGS:INTC,10/29/2013,24.523,29.96175
NasdaqGS:INTC,10/30/2013,24.495,24.09616
NasdaqGS:INTC,10/31/2013,24.47,30.90203
NasdaqGS:INTC,11/1/2013,24.325,28.30594
NasdaqGS:INTC,11/4/2013,24.255,26.63982
NasdaqGS:INTC,11/5/2013,24.03,22.84992
NasdaqGS:INTC,11/6/2013,24.245,25.52573
NasdaqGS:INTC,11/7/2013,24.059,25.63106
NasdaqGS:INTC,11/8/2013,24.09,31.5029
NasdaqGS:INTC,11/11/2013,24.169,19.23675
NasdaqGS:INTC,11/12/2013,24.43,37.81602
NasdaqGS:INTC,11/13/2013,24.6,22.99032
NasdaqGS:INTC,11/14/2013,24.385,20.19893
NasdaqGS:INTC,11/15/2013,24.52,22.86645
NasdaqGS:INTC,11/18/2013,24.6,24.71248
NasdaqGS:INTC,11/19/2013,24.7,24.8702
NasdaqGS:INTC,11/20/2013,24.56,20.28875
NasdaqGS:INTC,11/21/2013,25.23,44.05058
NasdaqGS:INTC,11/22/2013,23.87,77.90814
NasdaqGS:INTC,11/25/2013,23.75,43.39404
NasdaqGS:INTC,11/26/2013,23.65,30.60271
NasdaqGS:INTC,11/27/2013,23.9,28.41916
NasdaqGS:INTC,11/29/2013,23.84,13.80287
NasdaqGS:INTC,12/2/2013,23.7,25.68674
NasdaqGS:INTC,12/3/2013,23.55,35.07218
NasdaqGS:INTC,12/4/2013,23.74,43.50147
NasdaqGS:INTC,12/5/2013,24.26,45.40493
NasdaqGS:INTC,12/6/2013,24.82,53.87456
NasdaqGS:INTC,12/9/2013,24.931,29.61836
NasdaqGS:INTC,12/10/2013,24.82,18.20367
NasdaqGS:INTC,12/11/2013,24.42,24.68242
NasdaqGS:INTC,12/12/2013,24.47,21.91782
NasdaqGS:INTC,12/13/2013,24.29,20.63429
NasdaqGS:INTC,12/16/2013,24.45,25.06119
NasdaqGS:INTC,12/17/2013,24.655,28.16524
NasdaqGS:INTC,12/18/2013,25.15,42.68695
NasdaqGS:INTC,12/19/2013,25.14,31.88065
NasdaqGS:INTC,12/20/2013,25.055,55.38398
NasdaqGS:INTC,12/23/2013,25.32,28.12081
NasdaqGS:INTC,12/24/2013,25.43,12.15788
NasdaqGS:INTC,12/26/2013,25.7,16.95854
NasdaqGS:INTC,12/27/2013,25.6,12.97278
NasdaqGS:INTC,12/30/2013,25.85,19.78891
NasdaqGS:INTC,12/31/2013,25.955,22.80968
NasdaqGS:INTC,1/2/2014,25.79,31.8437
NasdaqGS:INTC,1/3/2014,25.78,27.80387
NasdaqGS:INTC,1/6/2014,25.46,31.8318
NasdaqGS:INTC,1/7/2014,25.585,19.68484
NasdaqGS:INTC,1/8/2014,25.43,29.68508
NasdaqGS:INTC,1/9/2014,25.31,20.8885
NasdaqGS:INTC,1/10/2014,25.53,30.62099
NasdaqGS:INTC,1/13/2014,25.5,40.30483
NasdaqGS:INTC,1/14/2014,26.51,74.15816
NasdaqGS:INTC,1/15/2014,26.67,58.31524
NasdaqGS:INTC,1/16/2014,26.54,49.52175
NasdaqGS:INTC,1/17/2014,25.85,112.538
NasdaqGS:INTC,1/21/2014,25.59,42.3255
NasdaqGS:INTC,1/22/2014,25.31,48.7978
NasdaqGS:INTC,1/23/2014,25.13,40.28105
NasdaqGS:INTC,1/24/2014,24.81,35.20063
NasdaqGS:INTC,1/27/2014,24.72,32.5825
NasdaqGS:INTC,1/28/2014,24.9,32.48556
NasdaqGS:INTC,1/29/2014,24.68,27.18005
NasdaqGS:INTC,1/30/2014,24.74,24.62411
NasdaqGS:INTC,1/31/2014,24.54,28.85818
NasdaqGS:INTC,2/3/2014,23.95,52.92817
NasdaqGS:INTC,2/4/2014,23.82,50.88809
NasdaqGS:INTC,2/5/2014,23.52,32.48459
NasdaqGS:INTC,2/6/2014,23.99,28.04936
NasdaqGS:INTC,2/7/2014,24.205,30.88586
NasdaqGS:INTC,2/10/2014,24.29,24.57179
NasdaqGS:INTC,2/11/2014,24.47,17.94796
NasdaqGS:INTC,2/12/2014,24.55,25.92526
NasdaqGS:INTC,2/13/2014,24.7,22.94004
NasdaqGS:INTC,2/14/2014,24.755,20.59267
NasdaqGS:INTC,2/18/2014,24.76,17.74925
NasdaqGS:INTC,2/19/2014,24.5,25.74362
NasdaqGS:INTC,2/20/2014,24.74,20.23066
NasdaqGS:INTC,2/21/2014,24.42,30.61767
NasdaqGS:INTC,2/24/2014,24.63,24.17357
NasdaqGS:INTC,2/25/2014,24.62,21.61346
NasdaqGS:INTC,2/26/2014,24.8,19.82016
NasdaqGS:INTC,2/27/2014,24.76,20.86687
NasdaqGS:INTC,2/28/2014,24.76,23.48373
NasdaqGS:INTC,3/3/2014,24.5,25.75458
NasdaqGS:INTC,3/4/2014,24.61,23.71467
NasdaqGS:INTC,3/5/2014,24.5,21.07135
NasdaqGS:INTC,3/6/2014,24.63,22.41627
NasdaqGS:INTC,3/7/2014,24.64,25.38093
NasdaqGS:INTC,3/10/2014,24.84,24.94528
NasdaqGS:INTC,3/11/2014,24.73,26.69563
NasdaqGS:INTC,3/12/2014,24.76,21.25902
NasdaqGS:INTC,3/13/2014,24.57,26.24325
NasdaqGS:INTC,3/14/2014,24.5,21.80723
NasdaqGS:INTC,3/17/2014,24.7,18.52579
NasdaqGS:INTC,3/18/2014,24.82,26.34402
NasdaqGS:INTC,3/19/2014,25.02,34.22942
NasdaqGS:INTC,3/20/2014,25.425,37.00907
NasdaqGS:INTC,3/21/2014,25.17,56.86457
NasdaqGS:INTC,3/24/2014,25.12,36.95157
NasdaqGS:INTC,3/25/2014,25.46,32.31742
NasdaqGS:INTC,3/26/2014,25.3772,26.44282
NasdaqGS:INTC,3/27/2014,25.31,27.20915
NasdaqGS:INTC,3/28/2014,25.62,22.88446
NasdaqGS:INTC,3/31/2014,25.814,29.33628
NasdaqGS:INTC,4/1/2014,25.99,23.77985
NasdaqGS:INTC,4/2/2014,25.89,22.46471
NasdaqGS:INTC,4/3/2014,26.41,38.58128
NasdaqGS:INTC,4/4/2014,26.16,47.91802
NasdaqGS:INTC,4/7/2014,26.485,49.81348
NasdaqGS:INTC,4/8/2014,26.91,56.69949
NasdaqGS:INTC,4/9/2014,26.98,34.48177
NasdaqGS:INTC,4/10/2014,26.425,40.47824
NasdaqGS:INTC,4/11/2014,26.1799,36.1269
NasdaqGS:INTC,4/14/2014,26.56,26.95801
NasdaqGS:INTC,4/15/2014,26.77,45.07443
NasdaqGS:INTC,4/16/2014,26.93,59.03735
NasdaqGS:INTC,4/17/2014,27.04,38.11261
NasdaqGS:INTC,4/21/2014,26.95,20.39969
NasdaqGS:INTC,4/22/2014,26.84,29.60231
NasdaqGS:INTC,4/23/2014,26.75,25.58142
NasdaqGS:INTC,4/24/2014,26.75,25.43284
